"Notes","Residence County","Residence County Code","Sex","Sex Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Broadwater County, MT","30007","Male","M","85-89 years","85-89",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Broadwater County, MT","30007","Male","M","90-94 years","90-94",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Broadwater County, MT","30007","Male","M","95-99 years","95-99",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Broadwater County, MT","30007","Male","M","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Broadwater County, MT","30007","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Broadwater County, MT","30007","Male","M",,,199,19633,1013.6,872.8,1154.4
"Total","Broadwater County, MT","30007",,,,,363,37859,958.8,860.2,1057.5
,"Carbon County, MT","30009","Female","F","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Carbon County, MT","30009","Female","F","1-4 years","1-4",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Carbon County, MT","30009","Female","F","5-9 years","5-9",0,1236,0.0,0.0,0.0
,"Carbon County, MT","30009","Female","F","10-14 years","10-14",0,1454,0.0,0.0,0.0
,"Carbon County, MT","30009","Female","F","15-19 years","15-19",Suppressed,1325,Suppressed,Suppressed,Suppressed
,"Carbon County, MT","30009","Female","F","20-24 years","20-24",0,1004,0.0,0.0,0.0
,"Carbon County, MT","30009","Female","F","25-29 years","25-29",0,1233,0.0,0.0,0.0
,"Carbon County, MT","30009","Female","F","30-34 years","30-34",Suppressed,1241,Suppressed,Suppressed,Suppressed
,"Carbon County, MT","30009","Female","F","35-39 years","35-39",Suppressed,1573,Suppressed,Suppressed,Suppressed
,"Carbon County, MT","30009","Female","F","40-44 years","40-44",0,1762,0.0,0.0,0.0
,"Carbon County, MT","30009","Female","F","45-49 years","45-49",Suppressed,1605,Suppressed,Suppressed,Suppressed
,"Carbon County, MT","30009","Female","F","50-54 years","50-54",Suppressed,1626,Suppressed,Suppressed,Suppressed
,"Carbon County, MT","30009","Female","F","55-59 years","55-59",Suppressed,1862,Suppressed,Suppressed,Suppressed
,"Carbon County, MT","30009","Female","F","60-64 years ","60-64",19,2579,736.7,443.6,1150.5
,"Carbon County, MT","30009","Female","F","65-69 years","65-69",12,2611,459.6,237.5,802.8
,"Carbon County, MT","30009","Female","F","70-74 years","70-74",28,2126,1317.0,875.2,1903.5
,"Carbon County, MT","30009","Female","F","75-79 years","75-79",33,1337,2468.2,1699.0,3466.3
,"Carbon County, MT","30009","Female","F","80-84 years","80-84",23,782,2941.2,1864.4,4413.2
,"Carbon County, MT","30009","Female","F","85-89 years","85-89",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Carbon County, MT","30009","Female","F","90-94 years","90-94",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Carbon County, MT","30009","Female","F","95-99 years","95-99",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Carbon County, MT","30009","Female","F","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Carbon County, MT","30009","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Carbon County, MT","30009","Female","F",,,223,27186,820.3,712.6,927.9
,"Carbon County, MT","30009","Male","M","< 1 year","1",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Carbon County, MT","30009","Male","M","1-4 years","1-4",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Carbon County, MT","30009","Male","M","5-9 years","5-9",0,1258,0.0,0.0,0.0
,"Carbon County, MT","30009","Male","M","10-14 years","10-14",0,1599,0.0,0.0,0.0
,"Carbon County, MT","30009","Male","M","15-19 years","15-19",Suppressed,1425,Suppressed,Suppressed,Suppressed
,"Carbon County, MT","30009","Male","M","20-24 years","20-24",0,1181,0.0,0.0,0.0
,"Carbon County, MT","30009","Male","M","25-29 years","25-29",Suppressed,1178,Suppressed,Suppressed,Suppressed
,"Carbon County, MT","30009","Male","M","30-34 years","30-34",Suppressed,1281,Suppressed,Suppressed,Suppressed
,"Carbon County, MT","30009","Male","M","35-39 years","35-39",Suppressed,1552,Suppressed,Suppressed,Suppressed
,"Carbon County, MT","30009","Male","M","40-44 years","40-44",Suppressed,1782,Suppressed,Suppressed,Suppressed
,"Carbon County, MT","30009","Male","M","45-49 years","45-49",11,1742,631.5,315.2,1129.9
,"Carbon County, MT","30009","Male","M","50-54 years","50-54",Suppressed,1877,Suppressed,Suppressed,Suppressed
,"Carbon County, MT","30009","Male","M","55-59 years","55-59",10,2103,475.5,228.0,874.5
,"Carbon County, MT","30009","Male","M","60-64 years ","60-64",20,2629,760.7,464.7,1174.9
,"Carbon County, MT","30009","Male","M","65-69 years","65-69",41,2676,1532.1,1099.5,2078.5
,"Carbon County, MT","30009","Male","M","70-74 years","70-74",48,2233,2149.6,1584.9,2850.0
,"Carbon County, MT","30009","Male","M","75-79 years","75-79",46,1482,3103.9,2272.5,4140.2
,"Carbon County, MT","30009","Male","M","80-84 years","80-84",34,864,3935.2,2725.2,5499.0
,"Carbon County, MT","30009","Male","M","85-89 years","85-89",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Carbon County, MT","30009","Male","M","90-94 years","90-94",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Carbon County, MT","30009","Male","M","95-99 years","95-99",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Carbon County, MT","30009","Male","M","100+ years","100+",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Carbon County, MT","30009","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","Carbon County, MT","30009","Male","M",,,313,28678,1091.4,970.5,1212.3
"Total","Carbon County, MT","30009",,,,,536,55864,959.5,878.2,1040.7
,"Carter County, MT","30011","Female","F","< 1 year","1",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Carter County, MT","30011","Female","F","1-4 years","1-4",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Carter County, MT","30011","Female","F","5-9 years","5-9",0,201,0.0,0.0,0.0
,"Carter County, MT","30011","Female","F","10-14 years","10-14",0,176,0.0,0.0,0.0
,"Carter County, MT","30011","Female","F","15-19 years","15-19",0,132,0.0,0.0,0.0
,"Carter County, MT","30011","Female","F","20-24 years","20-24",Suppressed,121,Suppressed,Suppressed,Suppressed
,"Carter County, MT","30011","Female","F","25-29 years","25-29",0,147,0.0,0.0,0.0
